Programa	Actividad	Estado	Municipio	Localidad	Nombre	Fecha mes	Fecha de inicio	Fecha de conclusión	Tipo de actividad	Clase de Actividad	Estatus	Sedes	Tipo de sede	Número de sesiones	Cantidad de público participante	Mujeres	Hombres	Niñas	Niños	Mujeres jóvenes	Hombres jóvenes	Personas Adultas	Personas Adultas Mayores
Cine Sillita	Cine sillita 8M	Ciudad de México	Miguel Hidalgo	Miguel Hidalgo	Cine Sillita en el Pabellón de Cultura Comunitaria, Miguel Hidalgo, Ciudad de México	Marzo	08/03/2025	08/03/2025	Jornada ordinaria	Cine sillita ordinario	Activo	Pabellón de Cultura Comunitaria	Casa o Centro cultural	1	8	5	3	1	0	0	0	7	0
Cine Sillita	Jornada ordinaria	Ciudad de México	Miguel Hidalgo	Miguel Hidalgo	Cine Sillita en el Pabellón de Cultura Comunitaria, Miguel Hidalgo, Ciudad de México	Mayo	02/05/2025	02/05/2025	Jornada ordinaria	Cine sillita ordinario	Activo	Pabellón de Cultura Comunitaria	Casa o Centro cultural	1	2	2	0	0	0	2	0	0	0
Cine Sillita	Jornada ordinaria	Ciudad de México	Miguel Hidalgo	Miguel Hidalgo	Cine Sillita en el Pabellón de Cultura Comunitaria, Miguel Hidalgo, Ciudad de México	Mayo	23/05/2025	23/05/2025	Jornada ordinaria	Cine sillita ordinario	Activo	Pabellón de Cultura Comunitaria	Casa o Centro cultural	1	3	2	1	0	0	2	1	0	0
Cine Sillita	Jornada ordinaria	Ciudad de México	Miguel Hidalgo	Miguel Hidalgo	Cine Sillita en el Pabellón de Cultura Comunitaria, Miguel Hidalgo, Ciudad de México	Abril	18/04/2025	18/04/2025	Jornada ordinaria	Cine sillita ordinario	Activo	Pabellón de Cultura Comunitaria	Casa o Centro cultural	1	7	5	2	1	0	4	2	0	0
Cine Sillita	Jornada ordinaria	Ciudad de México	Miguel Hidalgo	Miguel Hidalgo	Cine Sillita en el Pabellón de Cultura Comunitaria, Miguel Hidalgo, Ciudad de México	Abril	26/04/2025	26/04/2025	Jornada ordinaria	Cine sillita ordinario	Activo	Pabellón de Cultura Comunitaria	Casa o Centro cultural	1	14	7	7	0	4	6	3	0	1
Cine Sillita	Jornada ordinaria	Ciudad de México	Miguel Hidalgo	Miguel Hidalgo	Cine Sillita en el Pabellón de Cultura Comunitaria, Miguel Hidalgo, Ciudad de México	Abril	05/04/2025	05/04/2025	Jornada ordinaria	Cine sillita ordinario	Activo	Pabellón de Cultura Comunitaria	Casa o Centro cultural	1	5	3	2	0	0	1	0	4	0
Cine Sillita	Jornada ordinaria	Ciudad de México	Miguel Hidalgo	Miguel Hidalgo	Cine Sillita en el Pabellón de Cultura Comunitaria, Miguel Hidalgo, Ciudad de México	Abril	05/04/2025	05/04/2025	Jornada ordinaria	Cine sillita ordinario	Activo	Pabellón de Cultura Comunitaria	Casa o Centro cultural	1	5	3	2	0	0	3	2	0	0
Cine Sillita	Jornada ordinaria	Ciudad de México	Miguel Hidalgo	Miguel Hidalgo	Cine Sillita en el Pabellón de Cultura Comunitaria, Miguel Hidalgo, Ciudad de México	Mayo	30/05/2025	30/05/2025	Jornada ordinaria	Cine sillita ordinario	Activo	Pabellón de Cultura Comunitaria	Casa o Centro cultural	1	9	4	5	0	0	4	5	0	0
Cine Sillita	Jornada ordinaria	Ciudad de México	Miguel Hidalgo	Miguel Hidalgo	Cine Sillita en el Pabellón de Cultura Comunitaria, Miguel Hidalgo, Ciudad de México	Junio	06/06/2025	06/06/2025	Jornada ordinaria	Cine sillita ordinario	Activo	Pabellón de Cultura Comunitaria	Casa o Centro cultural	1	3	3	0	0	0	3	0	0	0
Cine Sillita	Jornada ordinaria	Ciudad de México	Miguel Hidalgo	Miguel Hidalgo	Cine Sillita en el Pabellón de Cultura Comunitaria, Miguel Hidalgo, Ciudad de México	Junio	13/06/2025	13/06/2025	Jornada ordinaria	Cine sillita ordinario	Activo	Pabellón de Cultura Comunitaria	Casa o Centro cultural	1	5	3	2	0	0	3	1	0	1
Cine Sillita	Jornada ordinaria	Ciudad de México	Miguel Hidalgo	Miguel Hidalgo	Cine Sillita en el Pabellón de Cultura Comunitaria, Miguel Hidalgo, Ciudad de México	Junio	20/06/2025	20/06/2025	Jornada ordinaria	Cine sillita ordinario	Activo	Pabellón de Cultura Comunitaria	Casa o Centro cultural	1	4	2	2	0	0	2	2	0	0
Cine Sillita	Jornada ordinaria	Ciudad de México	Miguel Hidalgo	Miguel Hidalgo	Cine Sillita en el Pabellón de Cultura Comunitaria, Miguel Hidalgo, Ciudad de México	Julio	04/07/2025	04/07/2025	Jornada ordinaria	Cine sillita ordinario	Activo	Pabellón de Cultura Comunitaria	Casa o Centro cultural	1	2	1	1	0	0	1	1	0	0
Cine Sillita	Jornada ordinaria	Ciudad de México	Miguel Hidalgo	Miguel Hidalgo	Cine Sillita en el Pabellón de Cultura Comunitaria, Miguel Hidalgo, Ciudad de México	Julio	18/07/2025	18/07/2025	Jornada ordinaria	Cine sillita ordinario	Activo	Pabellón de Cultura Comunitaria	Casa o Centro cultural	1	2	1	1	0	0	1	1	0	0
Cine Sillita	Jornada ordinaria	Ciudad de México	Miguel Hidalgo	Miguel Hidalgo	Cine Sillita en el Pabellón de Cultura Comunitaria, Miguel Hidalgo, Ciudad de México	Julio	25/07/2025	25/07/2025	Jornada ordinaria	Cine sillita ordinario	Activo	Pabellón de Cultura Comunitaria	Casa o Centro cultural	1	2	1	1	0	0	1	1	0	0
Cine Sillita	Jornada ordinaria	Ciudad de México	Miguel Hidalgo	Miguel Hidalgo	Cine Sillita en el Pabellón de Cultura Comunitaria, Miguel Hidalgo, Ciudad de México	Agosto	01/08/2025	01/08/2025	Jornada ordinaria	Cine sillita ordinario	Activo	Pabellón de Cultura Comunitaria	Casa o Centro cultural	1	5	3	2	0	0	3	2	0	0
Cine Sillita	Jornada ordinaria	Ciudad de México	Miguel Hidalgo	Miguel Hidalgo	Cine Sillita en el Pabellón de Cultura Comunitaria, Miguel Hidalgo, Ciudad de México	Agosto	22/08/2025	22/08/2025	Jornada ordinaria	Cine sillita ordinario	Activo	Pabellón de Cultura Comunitaria	Casa o Centro cultural	1	2	1	1	1	0	0	0	0	1
Cine Sillita	Jornada ordinaria	Ciudad de México	Miguel Hidalgo	Miguel Hidalgo	Cine Sillita en el Pabellón de Cultura Comunitaria, Miguel Hidalgo, Ciudad de México	Agosto	29/08/2025	29/08/2025	Jornada ordinaria	Cine sillita ordinario	Activo	Pabellón de Cultura Comunitaria	Casa o Centro cultural	1	4	3	1	2	0	0	0	2	0
Cine Sillita	Jornada ordinaria	Ciudad de México	Miguel Hidalgo	Miguel Hidalgo	Cine Sillita en el Pabellón de Cultura Comunitaria, Miguel Hidalgo, Ciudad de México	Septiembre	05/09/2025	05/09/2025	Jornada ordinaria	Cine sillita ordinario	Activo	Pabellón de Cultura Comunitaria	Casa o Centro cultural	1	2	0	2	0	0	0	0	2	0
Cine Sillita	Jornada ordinaria	Ciudad de México	Miguel Hidalgo	Miguel Hidalgo	Cine Sillita en el Pabellón de Cultura Comunitaria, Miguel Hidalgo, Ciudad de México	Septiembre	12/09/2025	12/09/2025	Jornada ordinaria	Cine sillita ordinario	Activo	Pabellón de Cultura Comunitaria	Casa o Centro cultural	1	3	3	0	1	0	0	0	2	0
Cine Sillita	Jornada ordinaria	Ciudad de México	Miguel Hidalgo	Miguel Hidalgo	Cine Sillita en el Pabellón de Cultura Comunitaria, Miguel Hidalgo, Ciudad de México	Septiembre	26/09/2025	26/09/2025	Jornada ordinaria	Cine sillita ordinario	Activo	Pabellón de Cultura Comunitaria	Casa o Centro cultural	1	7	6	1	3	1	0	0	3	0
Cine Sillita	Jornada ordinaria	Ciudad de México	Miguel Hidalgo	Miguel Hidalgo	Cine Sillita en el Pabellón de Cultura Comunitaria, Miguel Hidalgo, Ciudad de México	Noviembre	07/11/2025	07/11/2025	Jornada ordinaria	Cine sillita ordinario	Activo	Pabellón de Cultura Comunitaria	Casa o Centro cultural	1	6	6	0	0	0	6	0	0	0
Cine Sillita	Jornada ordinaria	Ciudad de México	Miguel Hidalgo	Miguel Hidalgo	Cine Sillita en el Pabellón de Cultura Comunitaria, Miguel Hidalgo, Ciudad de México	Noviembre	14/11/2025	14/11/2025	Jornada ordinaria	Cine sillita ordinario	Activo	Pabellón de Cultura Comunitaria	Casa o Centro cultural	1	2	1	1	0	0	1	1	2	0
Cine Sillita	Jornada ordinaria	Ciudad de México	Miguel Hidalgo	Miguel Hidalgo	Cine Sillita en el Pabellón de Cultura Comunitaria, Miguel Hidalgo, Ciudad de México	Noviembre	21/11/2025	21/11/2025	Jornada ordinaria	Cine sillita ordinario	Activo	Pabellón de Cultura Comunitaria	Casa o Centro cultural	1	1	1	0	0	0	1	0	1	0
Cine Sillita	Jornada ordinaria	Ciudad de México	Miguel Hidalgo	Miguel Hidalgo	Cine Sillita en el Pabellón de Cultura Comunitaria, Miguel Hidalgo, Ciudad de México	Noviembre	28/11/2025	28/11/2025	Jornada ordinaria	Cine sillita ordinario	Activo	Pabellón de Cultura Comunitaria	Casa o Centro cultural	1	1	1	0	0	0	0	0	1	0
Cine Sillita Modelo B	Jornada ordinaria	Oaxaca	Salina Cruz	Playa Brasil	Cine Sillita Modelo B en el Ágora, Salina Cruz, Oaxaca	Agosto	22/08/2025	22/08/2025	Jornada ordinaria	Cine sillita modelo B - PACMA	Activo	Ágora	Casa o Centro cultural	1	45	20	25	15	15	0	0	15	5
Cine Sillita Modelo B	Jornada ordinaria	Oaxaca	Salina Cruz	Salina Cruz	Cine Sillita Modelo B en el Ágora, Salina Cruz, Oaxaca	Agosto	15/08/2025	15/08/2025	Jornada ordinaria	Cine sillita modelo B - PACMA	Activo	Ágora	Casa o Centro cultural	1	90	50	40	10	10	20	10	50	30
