Estatus	Programa	Región	Área	Coordinación	Estado	Municipio	Localidad	Nombre	Sedes	Direcciones	Horarios	Rama Artística (DT)	Año de creación	Atención a las causas	Número promotores	Cantidad de participantes	Niñas	Niños	Mujeres Jóvenes	Hombres Jóvenes	Mujeres adultas	Hombres adultos	Personas con Discapacidad	Personas Indígenas	Personas Afromexicanas	lat	lon	Consecutivo	Municipio Concatenado	Cantidad de público participante	Número de sesiones	Proyecto PAICE	Presupuesto PAICE
Activo	PAICE 24	Sur	PAICE	DT	Chiapas	Chanal	Chanal	Casa de la Cultura		Calle José María Morelos s/n, colonia Centro, Chanal, C.P. 29440, Chanal, Chiapas		N/A	2024	No												16.6565044	-92.2592351	1	ChiapasChanal			Fortalecimiento a la Infraestructura Cultural	 $4,288,235.65 
Activo	PAICE 24	Occidente	PAICE	DT	Colima	Villa de Álvarez	Ciudad de Villa de Álvarez	Casa del Volcán		Km 15.5 Carretera El Chivato, El Naranjal, Comunidad de Villa de Alvarez, Colima, México. CP 28968		N/A	2024	No												19.3809221	-103.6747336	2	ColimaVilla de Álvarez			Vida a la Infraestructura Cultural	 $1,200,000.00 
Activo	PAICE 24	Norte	PAICE	DT	Durango	Durango	Victoria de Durango	Museo Regional de Durango UJED "Ángel Rodríguez Solórzano"		Victoria 100 sur, zona centro. C.P. Ciudad de Durango, Dgo.		N/A	2024	No												24.0270696	-104.6695476	3	DurangoDurango			Vida a la Infraestructura Cultural	 $1,200,000.00 
Activo	PAICE 24	Norte	PAICE	DT	Durango	Durango	Victoria de Durango	Teatro de la Juventud		Pärque Guadiana S/N amexp al Auditorio del Pueblo cl Zona Centro. Durango. Dgo.		N/A	2024	No												24.025117	-104.6877411	4	DurangoDurango			Vida a la Infraestructura Cultural	 $1,200,000.00 
Activo	PAICE 24	Centro	PAICE	DT	Estado de México	Jilotepec	Jilotepec de Molina Enríquez	Museo de Jilotepec		Calle Mariano Escobedo s/n, Col. Centro, Jilotepec de Molina Enríquez, C.P. 54240, Jilotepec, Estado de México.		N/A	2024	No												19.9510269	-99.5332073	5	Estado de MéxicoJilotepec			Vida a la Infraestructura Cultural	 $1,200,000.00 
Activo	PAICE 24	Occidente	PAICE	DT	Guanajuato	Apaseo el Grande	Apaseo El Grande	Casa de la Cultura Poeta Antonio Plaza		Morelos #308, Col. Centro Apaseo El Grande, Gto. CP. 38160		N/A	2024	No												20.5461623	-100.6848246	6	GuanajuatoApaseo el Grande			Vida a la Infraestructura Cultural	 $1,082,840.00 
Activo	PAICE 24	Occidente	PAICE	DT	Guanajuato	Celaya	Celaya	Galerías y Parque Xochipilli 3, (Centro Interactivo del Conocimiento XIMHAI)		Av. Juan José Torres Landa, Bajío de las Américas, 38014 Celaya, Gto.		N/A	2024	Sí												20.5351715	-100.8227457	7	GuanajuatoCelaya			Vida a la Infraestructura Cultural	 $1,200,000.00 
Activo	PAICE 24	Occidente	PAICE	DT	Jalisco	San Pedro Tlaquepaque	Tlaquepaque	Auditorio “Porfirio Cortés Silva” (Cine Foro) del Centro Cultural El Refugio		Donato Guerra, 160, Col. San Juan, C.P. 45500, San Pedro Tlaquepaque, Jalisco		N/A	2024	No												20.6508381	-103.3121692	8	JaliscoSan Pedro Tlaquepaque			Vida a la Infraestructura Cultural	 $984,720.58 
Activo	PAICE 24	Occidente	PAICE	DT	Jalisco	Tuxcacuesco	Tuxcacuesco	Casa de la Cultura Juan Rulfo		Independencia 40, Col. Centro, C.P. 48770, Tuxcacuesco, Jalisco		N/A	2024	No												19.6976151	-103.9823498	9	JaliscoTuxcacuesco			Vida a la Infraestructura Cultural	 $1,200,000.00 
Activo	PAICE 24	Occidente	PAICE	DT	Michoacán	Uruapan	Uruapan	Centro de Artes El Colibrí		Francisco I. Madero 116, Col. Barrio de Santiago, C.P. 60030, Uruapan, Michoacán 		N/A	2024	Sí												19.4214245	-102.0690774	10	MichoacánUruapan			Vida a la Infraestructura Cultural	 $1,175,209.56 
Activo	PAICE 24	Centro	PAICE	DT	Morelos	Cuernavaca	Cuernavaca	Centro Cultural Infantil La Vecindad		Salazar no. 8, Esq. Humbolt, Col. Centro, CP. 62000, Cuernavaca, Morelos,		N/A	2024	No												18.9220192	-99.2321695	11	MorelosCuernavaca			Vida a la Infraestructura Cultural	 $1,200,000.00 
Activo	PAICE 24	Noreste	PAICE	DT	Nuevo León	El Carmen	Carmen	Esfera Cultural El Carmen		Vista Regia s/n Col. Buena Vista setor 4, El Carmen Nuevo León C.P. 66583		N/A	2024	No												25.8550017	-100.3747499	12	Nuevo LeónEl Carmen			Vida a la Infraestructura Cultural	 $1,200,000.00 
